===============D e t a i l================
ID	Region	Seg_X	Seg_Y	Pos_X	Pos_Y	HD	ESL	Stat	Frame Delay
0	Column1	0	1	0	1	1	0	MISS	32.912
1	Column1	0	1	0	2	1	0	HIT	265.960
2	Column1	0	1	0	3	1	0	HIT	33.951
3	Column1	0	1	0	4	1	0	HIT	34.984
4	Column1	0	1	0	5	1	0	HIT	34.949
5	Column1	0	1	0	6	1	0	HIT	36.303
6	Column1	0	1	0	7	1	0	HIT	34.908
7	Column1	0	1	0	8	1	0	HIT	35.059
8	Column1	0	1	0	9	1	0	HIT	44.881
9	Column1	0	1	0	10	1	0	HIT	34.420
10	Column1	0	1	0	11	1	0	HIT	33.952
11	Column1	0	1	0	12	1	0	HIT	34.977
12	Column1	0	2	0	13	1	0	MISS	34.211
13	Column1	0	2	0	14	1	0	HIT	145.098
14	Column1	0	2	0	15	1	0	HIT	149.492
15	Column1	0	2	0	16	1	0	HIT	91.755
16	Column1	0	2	0	17	1	0	HIT	33.949
17	Column1	0	2	0	18	1	0	HIT	102.218
18	Column1	0	2	0	19	1	0	HIT	45.725
19	Column1	0	2	0	20	1	0	HIT	106.745
20	Column1	0	2	0	21	1	0	HIT	79.880
21	Column1	0	2	0	22	1	0	HIT	65.302
22	Column1	0	2	0	23	1	0	HIT	130.697
23	Column1	0	2	0	24	1	0	HIT	96.460
24	Column1	0	3	0	25	1	0	MISS	33.319
25	Column1	0	3	0	26	1	0	HIT	151.863
26	Column1	0	3	0	27	1	0	HIT	121.641
27	Column1	0	3	0	28	1	0	HIT	64.048
28	Column1	0	3	0	29	1	0	HIT	80.298
29	Column1	0	3	0	30	1	0	HIT	103.796
30	Column1	0	3	0	31	1	0	HIT	76.369
31	Column1	0	3	0	32	1	0	HIT	45.927
32	Column1	0	3	0	33	1	0	HIT	101.275
33	Column1	0	3	0	34	1	0	HIT	64.829
34	Column1	0	3	0	35	1	0	HIT	119.566
35	Column1	0	3	0	36	1	0	HIT	47.967
36	Column1	0	4	0	37	1	0	MISS	34.808
37	Column1	0	4	0	38	1	0	HIT	206.843
38	Column1	0	4	0	39	1	0	HIT	40.884
39	Column1	0	4	0	40	1	0	HIT	88.794
40	Column1	0	4	0	41	1	0	HIT	65.608
41	Column1	0	4	0	42	1	0	HIT	79.405
42	Column1	0	4	0	43	1	0	HIT	78.115
43	Column1	0	4	0	44	1	0	HIT	67.940
44	Column1	0	4	0	45	1	0	HIT	59.461
45	Column1	0	4	0	46	1	0	HIT	112.799
46	Column1	0	4	0	47	1	0	HIT	80.862
47	Column1	0	4	0	48	1	0	HIT	76.682
48	Column1	0	5	0	49	1	0	MISS	33.602
49	Column1	0	5	0	50	1	0	HIT	302.448
50	Column1	0	5	0	51	1	0	HIT	88.139
51	Column1	0	5	0	52	1	0	HIT	139.670
52	Column1	0	5	0	53	1	0	HIT	62.250
53	Column1	0	5	0	54	1	0	HIT	86.971
54	Column1	0	5	0	55	1	0	HIT	96.494
55	Column1	0	5	0	56	1	0	HIT	88.906
56	Column1	0	5	0	57	1	0	HIT	90.727
57	Column1	0	5	0	58	1	0	HIT	99.531
58	Column1	0	5	0	59	1	0	HIT	128.669
59	Column1	0	5	0	60	1	0	HIT	146.713
60	Column1	0	6	0	61	1	0	MISS	34.631
61	Column1	0	6	0	62	1	0	HIT	233.491
62	Column1	0	6	0	63	1	0	HIT	81.348
63	Column1	0	6	0	64	1	0	HIT	89.851
64	Column1	0	6	0	65	1	0	HIT	57.273
65	Column1	0	6	0	66	1	0	HIT	113.740
66	Column1	0	6	0	67	1	0	HIT	94.739
67	Column1	0	6	0	68	1	0	HIT	166.565
68	Column1	0	6	0	69	1	0	HIT	96.220
69	Column1	0	6	0	70	1	0	HIT	74.204
70	Column1	0	6	0	71	1	0	HIT	100.192
71	Column1	0	6	0	72	1	0	HIT	115.058
72	Column1	0	7	0	73	1	0	MISS	33.952
73	Column1	0	7	0	74	1	0	HIT	312.317
74	Column1	0	7	0	75	1	0	HIT	126.247
75	Column1	0	7	0	76	1	0	HIT	149.817
76	Column1	0	7	0	77	1	0	HIT	168.606
77	Column1	0	7	0	78	1	0	HIT	170.939
78	Column1	0	7	0	79	1	0	HIT	129.506
79	Column1	0	7	0	80	1	0	HIT	147.195
80	Column1	0	7	0	81	1	0	HIT	143.928
81	Column1	0	7	0	82	1	0	HIT	139.551
82	Column1	0	7	0	83	1	0	HIT	179.995
83	Column1	0	7	0	84	1	0	HIT	86.821
84	Column1	0	8	0	85	1	0	MISS	34.208
85	Column1	0	8	0	86	1	0	HIT	327.314
86	Column1	0	8	0	87	1	0	HIT	120.700
87	Column1	0	8	0	88	1	0	HIT	66.141
88	Column1	0	8	0	89	1	0	HIT	99.124
89	Column1	0	8	0	90	1	0	HIT	83.639
90	Column1	0	8	0	91	1	0	HIT	95.774
91	Column1	0	8	0	92	1	0	HIT	71.810
92	Column1	0	8	0	93	1	0	HIT	50.571
93	Column1	0	8	0	94	1	0	HIT	84.044
94	Column1	0	8	0	95	1	0	HIT	84.825
95	Column1	0	8	0	96	1	0	HIT	113.538
96	Column1	0	9	0	97	1	0	MISS	33.986
97	Column1	0	9	0	98	1	0	HIT	221.132
98	Column1	0	9	0	99	1	0	HIT	73.240
99	Column1	0	9	0	100	1	0	HIT	91.253
100	Column1	0	9	0	101	1	0	HIT	90.162
101	Column1	0	9	0	102	1	0	HIT	126.662
102	Column1	0	9	0	103	1	0	HIT	90.220
103	Column1	0	9	0	104	1	0	HIT	74.465
104	Column1	0	9	0	105	1	0	HIT	70.801
105	Column1	0	9	0	106	1	0	HIT	68.341
106	Column1	0	9	0	107	1	0	HIT	60.939
107	Column1	0	9	0	108	1	0	HIT	176.527
108	Column1	0	10	0	109	1	0	MISS	34.607
109	Column1	0	10	0	110	1	0	HIT	185.243
110	Column1	0	10	0	111	1	0	HIT	66.533
111	Column1	0	10	0	112	1	0	HIT	78.583
112	Column1	0	10	0	113	1	0	HIT	77.856
113	Column1	0	10	0	114	1	0	HIT	65.664
114	Column1	0	10	0	115	1	0	HIT	96.004
115	Column1	0	10	0	116	1	0	HIT	114.738
116	Column1	0	10	0	117	1	0	HIT	46.360
117	Column1	0	10	0	118	1	0	HIT	111.305
118	Column1	0	10	0	119	1	0	HIT	101.757
119	Column1	0	10	0	120	1	0	HIT	54.397
120	Row331	1	11	1	121	2	1	MISS	21.700
121	Row331	1	11	2	121	2	1	HIT	216.111
122	Row331	1	11	3	121	2	1	HIT	32.211
123	Row331	1	11	4	121	2	1	HIT	53.810
124	Row331	1	11	5	121	2	1	HIT	88.806
125	Row331	1	11	6	121	2	1	HIT	42.559
126	Row331	1	11	7	121	2	1	HIT	112.881
127	Row331	1	11	8	121	2	1	HIT	35.906
128	Row331	1	11	9	121	2	1	HIT	85.388
129	Row331	1	11	10	121	2	1	HIT	34.355
130	Row331	1	11	11	121	2	1	HIT	63.996
131	Row331	1	11	12	121	2	1	HIT	58.479
132	Row331	2	11	13	121	2	1	MISS	29.920
133	Row331	2	11	14	121	2	1	HIT	190.178
134	Row331	2	11	15	121	2	1	HIT	84.095
135	Row331	2	11	16	121	2	1	HIT	89.118
136	Row331	2	11	17	121	2	1	HIT	65.872
137	Row331	2	11	18	121	2	1	HIT	56.123
138	Row331	2	11	19	121	2	1	HIT	113.199
139	Row331	2	11	20	121	2	1	HIT	53.536
140	Row331	2	11	21	121	2	1	HIT	74.873
141	Row331	2	11	22	121	2	1	HIT	79.665
142	Row331	2	11	23	121	2	1	HIT	85.016
143	Row331	2	11	24	121	2	1	HIT	86.800
144	Row331	3	11	25	121	2	1	MISS	21.109
145	Row331	3	11	26	121	2	1	HIT	165.585
